"carat","cut","color","clarity","depth","table","price","x","y","z"
0.25,"Very Good","E","VVS2",62.2,57,548,4.02,4.12,2.53
1.04,"Ideal","F","SI1",61.4,56,5663,6.52,6.58,4.02
1.06,"Premium","H","SI1",61,58,4984,6.57,6.61,4.02
0.41,"Premium","F","SI2",60.8,58,830,4.83,4.78,2.92
0.7,"Ideal","I","VVS1",61.8,56,2492,5.72,5.74,3.54
0.41,"Very Good","E","SI1",61.1,62,705,4.76,4.83,2.93
1.54,"Premium","G","VS1",61.9,59,13733,7.37,7.34,4.55
1.01,"Ideal","D","SI2",62.6,56,4872,6.4,6.34,3.99
0.75,"Ideal","F","SI1",61.2,55,2966,5.87,5.92,3.61
0.41,"Ideal","H","VS1",61.9,56,1061,4.78,4.75,2.95
1.01,"Premium","G","VS2",59.2,59,6108,6.59,6.52,3.88
0.31,"Ideal","E","VS2",61.7,57,627,4.35,4.37,2.69
0.4,"Good","G","VS1",63.4,56,783,4.68,4.72,2.98
2.06,"Ideal","H","SI2",62,57,11040,8.1,8.06,5.01
0.37,"Ideal","F","VS1",61.7,56,811,4.61,4.63,2.85
2.28,"Premium","H","SI2",62.1,59,18055,8.44,8.4,5.23
1.53,"Premium","D","SI2",60.7,60,11078,7.45,7.41,4.51
1.41,"Premium","I","SI2",62.9,59,6751,7.14,7.08,4.47
0.56,"Ideal","E","VS2",61.5,57,1915,5.3,5.27,3.25
1.03,"Ideal","E","SI1",62.2,57,5234,6.42,6.48,4.01
0.82,"Ideal","D","SI2",62.1,57,3357,6.04,6,3.74
0.71,"Very Good","I","SI2",60.4,59,2003,5.76,5.79,3.49
0.31,"Ideal","G","VVS2",61.7,54,907,4.38,4.34,2.69
0.54,"Ideal","G","SI2",61.8,55,1028,5.23,5.26,3.24
0.51,"Premium","F","SI1",59.4,60,1406,5.21,5.19,3.09
0.75,"Ideal","F","VS2",62.1,57,3081,5.8,5.82,3.61
2.03,"Ideal","J","VS2",60.5,57,14083,8.26,8.2,4.98
0.31,"Ideal","G","IF",61.9,56,924,4.36,4.39,2.71
0.3,"Ideal","H","VS2",61,56,501,4.33,4.37,2.65
1.11,"Premium","J","SI1",59.5,58,3524,6.89,6.77,4.07
0.26,"Very Good","F","VVS2",62.6,56,657,4.09,4.11,2.56
0.5,"Premium","D","SI1",61.1,59,1610,5.08,5.04,3.09
0.26,"Good","H","VVS2",63.3,58,468,4.04,4.08,2.57
1.01,"Premium","H","VS1",62.7,58,5294,6.39,6.37,4
0.51,"Ideal","F","SI2",60.5,55,1169,5.17,5.21,3.14
0.3,"Ideal","E","VS2",61.5,56,658,4.29,4.33,2.65
0.41,"Premium","I","SI2",60.6,59,600,4.84,4.8,2.92
0.81,"Ideal","E","SI1",61.3,57,3338,6.08,6.03,3.71
0.52,"Ideal","H","SI1",61.9,56,1098,5.16,5.22,3.2
0.85,"Ideal","H","SI2",62.5,57,2833,6.02,6.07,3.78
0.91,"Premium","E","VS1",62.7,59,4969,6.19,6.15,3.87
0.5,"Ideal","G","VVS2",61.2,56,1838,5.1,5.13,3.13
1.13,"Premium","H","VS2",62.4,58,5885,6.66,6.61,4.14
1.23,"Good","J","VS2",63.6,57,5386,6.79,6.74,4.3
0.34,"Ideal","F","VVS1",61.6,56,1174,4.5,4.53,2.78
0.53,"Ideal","E","VVS1",61.5,54,3323,5.23,5.25,3.22
1.57,"Ideal","G","VS2",62.7,55,12506,7.42,7.49,4.68
