"carat","cut","color","clarity","depth","table","price","x","y","z"
0.7,"Premium","F","VS2",60.6,58,2822,5.8,5.72,3.49
1.02,"Premium","H","SI1",62.2,52,3581,6.47,6.43,4.01
0.6,"Premium","H","SI1",60.1,61,1219,5.43,5.39,3.25
0.77,"Ideal","F","VS2",61.2,57,3052,5.93,5.97,3.64
0.43,"Ideal","E","VVS2",62,57,1245,4.84,4.87,3.01
1.6,"Ideal","I","SI1",62,55,9376,7.53,7.59,4.69
0.32,"Premium","H","VS2",61,60,505,4.35,4.41,2.67
0.7,"Very Good","D","VS2",62.6,58,3053,5.67,5.7,3.56
1.52,"Premium","I","SI1",61.2,60,8299,7.41,7.36,4.52
1.18,"Premium","H","SI2",58.7,60,4956,7.01,6.93,4.09
0.55,"Very Good","G","VVS1",61.5,55.1,2451,5.26,5.28,3.24
0.32,"Ideal","G","VVS2",61.1,55,730,4.42,4.45,2.71
1.53,"Premium","F","SI1",58.5,59,11820,7.62,7.55,4.44
0.5,"Good","D","VS2",64.1,61,1402,4.98,5.01,3.2
1,"Good","I","SI1",61,60,4496,6.36,6.39,3.89
1.13,"Ideal","H","SI2",62.1,55,4932,6.65,6.68,4.14
1.51,"Ideal","H","SI1",61.9,57,7678,7.4,7.33,4.56
1.51,"Premium","E","SI1",61.5,58,12530,7.33,7.38,4.52
0.74,"Ideal","D","VS2",61.8,56,3858,5.79,5.82,3.59
0.3,"Good","G","VVS1",63.1,56,789,4.25,4.28,2.69
1.05,"Premium","H","SI2",63,57,3822,6.47,6.42,4.06
0.62,"Premium","H","IF",58.9,58,2389,5.65,5.58,3.31
0.32,"Ideal","D","VS2",62.7,54,758,4.36,4.38,2.74
1.01,"Very Good","I","SI1",63.2,54,4525,6.41,6.35,4.03
0.32,"Ideal","H","SI1",61.2,56,430,4.43,4.46,2.72
0.9,"Fair","I","VVS2",60.9,66,3288,6.1,6.12,3.72
1.24,"Premium","E","SI2",60.5,62,4666,6.97,6.89,4.19
0.71,"Ideal","F","VS1",62.7,57,3041,5.66,5.7,3.56
1.51,"Very Good","H","VS2",63,57,10319,7.25,7.3,4.58
0.28,"Very Good","F","VS1",61,59,487,4.18,4.24,2.57
1.56,"Ideal","H","VS2",61.5,56,11636,7.5,7.46,4.6
2.04,"Very Good","J","VS1",62.6,58,14527,8.06,8.11,5.06
1.2,"Premium","F","VS2",62.1,54,8796,6.77,6.73,4.19
0.51,"Premium","E","SI2",61.7,58,1265,5.14,5.07,3.15
0.7,"Fair","H","VS1",65.8,56,2415,5.54,5.49,3.63
1.02,"Ideal","E","IF",62.2,56,12030,6.44,6.38,3.99
1.26,"Ideal","H","SI2",61,56,5998,6.99,6.95,4.25
0.4,"Good","D","VS2",63.5,55,891,4.66,4.69,2.97
0.45,"Very Good","G","VS1",60,57.1,1154,4.99,5.03,3
0.36,"Premium","F","SI1",61.9,59,770,4.54,4.51,2.8
1.59,"Ideal","J","SI1",62.4,55,8325,7.48,7.45,4.66
2.01,"Very Good","I","VS1",62.9,59,18041,7.94,8.03,5.02
0.91,"Good","G","VS1",63.4,54,4284,6.07,6.24,3.9
1.21,"Ideal","H","SI2",62,54.5,5814,6.81,6.87,4.25
1,"Good","F","SI1",63.6,62,4586,6.3,6.24,3.99
0.53,"Ideal","D","VS2",61.2,55,1956,5.25,5.21,3.2
0.3,"Very Good","D","SI2",62.4,59,447,4.25,4.28,2.66
1.41,"Good","D","SI2",63.9,60,7501,7.08,7,4.5
1.01,"Ideal","E","SI1",61.1,55,6132,6.47,6.52,3.97
0.5,"Premium","F","SI1",59.6,61,1125,5.15,5.12,3.06
0.34,"Premium","F","VS1",60,59,725,4.59,4.55,2.74
0.73,"Premium","G","VS2",60.7,58,2746,5.82,5.87,3.55
0.36,"Premium","E","VS1",61.3,58,852,4.56,4.58,2.8
0.72,"Ideal","G","SI2",61.5,55,2420,5.79,5.82,3.57
0.42,"Ideal","F","VVS1",61.5,56,1223,4.85,4.87,2.99
0.6,"Ideal","I","SI2",61.9,55,1182,5.43,5.46,3.37
1.06,"Premium","I","SI1",61.9,59,4372,6.5,6.52,4.03
1.71,"Premium","I","SI2",59,60,8366,7.86,7.83,4.63
0.82,"Ideal","I","SI2",61.1,57,2075,6.05,6.09,3.71
0.32,"Very Good","F","VS2",61,61,645,4.38,4.41,2.68
0.57,"Good","E","VVS1",59.1,65,2990,5.34,5.43,3.18
2.02,"Premium","J","SI1",61.6,58,12431,8.14,8.1,5
0.64,"Good","F","IF",58.6,61,2980,5.69,5.71,3.34
0.74,"Very Good","G","VS1",59.8,58,2896,5.85,5.89,3.51
0.52,"Ideal","E","VS2",59.5,57,1815,5.27,5.25,3.13
0.77,"Good","E","SI2",58.1,63,2371,6.02,6.06,3.5
0.61,"Ideal","D","SI1",62,55,1927,5.44,5.47,3.38
0.52,"Premium","E","VS1",59.2,59,1739,5.29,5.25,3.12
0.9,"Premium","E","SI1",59.8,58,4092,6.26,6.21,3.73
1.05,"Ideal","G","SI2",62.7,57,5127,6.45,6.51,4.06
0.32,"Ideal","D","VS2",61.7,57,972,4.39,4.36,2.7
0.34,"Ideal","F","VS2",62.1,56,880,4.51,4.47,2.79
0.91,"Very Good","F","SI2",61.4,60,3726,6.13,6.16,3.77
0.35,"Ideal","D","SI1",61.5,56,780,4.54,4.57,2.8
0.64,"Ideal","H","VVS1",62.2,58,2308,5.49,5.51,3.42
1.01,"Premium","G","SI1",62.3,59,4138,6.37,6.34,3.96
0.33,"Very Good","F","VS2",62.4,57,666,4.39,4.43,2.75
0.7,"Premium","E","SI2",61.1,61,2215,5.74,5.69,3.49
1.71,"Very Good","D","SI2",63.5,56,11844,7.58,7.51,4.79
2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07
1.2,"Premium","E","VS2",62,59,8279,6.78,6.71,4.18
0.33,"Premium","I","VVS2",61,59,743,4.44,4.41,2.7
0.25,"Very Good","F","VVS2",63.2,57,575,3.99,4.01,2.53
0.38,"Premium","H","VS2",60.6,58,898,4.7,4.68,2.84
0.5,"Very Good","D","VS2",62.2,60,1378,5.15,5.05,3.17
1.01,"Ideal","J","VS2",62.2,54,4443,6.41,6.47,4.01
1.75,"Ideal","G","VS2",62.6,56,16783,7.72,7.65,4.81
0.71,"Premium","D","VVS1",59.2,59,4234,5.88,5.84,3.47
0.32,"Premium","E","IF",60,61,967,4.5,4.46,2.69
2.27,"Premium","I","SI2",62.5,59,14937,8.45,8.39,5.26
1.08,"Premium","F","SI1",62.1,58,4953,6.61,6.57,4.09
0.3,"Very Good","F","SI1",57.9,61,489,4.39,4.49,2.57
1.21,"Very Good","H","VS1",62.3,58,7246,6.71,6.74,4.19
0.32,"Very Good","E","SI1",63.3,55,672,4.36,4.33,2.75
0.3,"Ideal","F","VS2",62,55,776,4.33,4.31,2.68
0.33,"Ideal","D","VVS1",61,55,1176,4.52,4.47,2.74
0.71,"Ideal","G","VS1",60.9,56.6,3123,5.75,5.79,3.52
0.23,"Very Good","E","VVS2",61.8,59,465,3.92,3.95,2.43
1.02,"Ideal","F","SI2",60.7,56,4541,6.53,6.5,3.95
0.41,"Ideal","H","VVS1",61.5,55,1011,4.81,4.79,2.95
1.09,"Ideal","F","SI1",62,56,5768,6.61,6.56,4.08
0.84,"Very Good","G","VS2",61.8,57,3596,6.04,6.07,3.74
0.4,"Premium","H","VS1",61.3,59,1021,4.79,4.74,2.92
0.42,"Ideal","D","VVS2",62,55,1132,4.81,4.84,2.99
0.9,"Good","G","VS1",63.7,56,4540,6.07,6.15,3.89
1.14,"Very Good","F","SI2",59.2,63,5033,6.78,6.86,4.04
1,"Good","G","SI1",63.1,56,4218,6.31,6.41,4.01
1.01,"Very Good","D","VS2",60.4,58,6905,6.47,6.57,3.94
0.39,"Ideal","F","VS1",61.6,57,902,4.7,4.72,2.9
2.01,"Good","I","SI2",63.5,60,12985,7.86,7.94,5.02
1.24,"Ideal","J","SI1",61.9,56,5125,6.95,6.88,4.28
0.71,"Ideal","E","VS1",60.4,56,3238,5.8,5.85,3.52
0.51,"Good","E","VS2",63.8,57,1662,5.07,5.05,3.23
1.13,"Very Good","D","VVS2",61.5,58,13111,6.64,6.67,4.09
0.7,"Very Good","E","VS1",63.8,57,3177,5.61,5.65,3.59
1.12,"Ideal","D","SI1",61.2,58,7145,6.65,6.68,4.08
1.5,"Good","F","SI2",62.9,59,7727,7.19,7.32,4.56
0.26,"Very Good","E","VVS1",62.9,58,599,4.06,4.08,2.56
1.22,"Very Good","J","SI1",58.8,61,4969,6.94,7,4.1
1.56,"Good","I","SI1",64,57,6246,7.32,7.28,4.67
1.3,"Good","D","SI2",57.1,63,6443,7.27,7.22,4.14
0.51,"Ideal","G","VVS2",61.9,55,1926,5.14,5.17,3.19
0.58,"Ideal","H","SI1",61.6,57,1184,5.34,5.38,3.3
0.9,"Very Good","E","SI1",62.3,61,3868,6.12,6.17,3.83
0.31,"Ideal","F","IF",61.4,56,1168,4.4,4.43,2.71
1.23,"Ideal","F","VS2",62.4,54,10342,6.84,6.87,4.28
0.87,"Ideal","E","SI1",61.5,57,5112,6.12,6.15,3.77
0.81,"Very Good","G","SI1",62.5,60,2806,5.89,5.94,3.69
0.84,"Very Good","G","SI2",62.8,57,3015,6,6.04,3.78
1.12,"Ideal","H","SI1",61.9,57,5521,6.64,6.68,4.12
1.11,"Premium","H","SI1",62.1,58,5102,6.6,6.57,4.09
1.23,"Ideal","H","SI1",62.4,54,6617,6.83,6.89,4.28
0.7,"Very Good","H","SI2",59.9,57,2034,5.74,5.77,3.45
0.7,"Premium","F","SI1",60.5,58,2264,5.77,5.84,3.51
2,"Very Good","H","SI1",63.2,58,15984,7.95,7.93,5.02
0.41,"Ideal","J","VS2",61.7,55,587,4.79,4.81,2.96
0.97,"Premium","F","SI1",59.9,59,4726,6.39,6.36,3.82
1.01,"Very Good","F","SI1",62.8,58,4759,6.35,6.43,4.01
2.03,"Ideal","G","SI2",61.1,57,17182,8.16,8.21,5
1.01,"Premium","D","SI2",58,60,3604,6.58,6.53,3.8
0.54,"Ideal","E","SI2",60.4,57,1340,5.33,5.27,3.2
0.33,"Ideal","E","VS2",61.3,55,738,4.46,4.5,2.75
0.53,"Ideal","E","VVS2",60.5,57,2456,5.24,5.28,3.18
0.52,"Ideal","D","VS2",62.2,56,1822,5.13,5.16,3.2
0.3,"Ideal","H","VS2",61.9,54.6,486,4.27,4.33,2.67
1.01,"Very Good","J","SI1",62.8,57,3998,6.37,6.41,4.01
1.07,"Good","E","SI2",60,62,4453,6.57,6.62,3.96
1.07,"Ideal","F","SI1",61.5,56,7286,6.58,6.62,4.06
0.53,"Ideal","F","VVS1",61.4,56,2618,5.21,5.25,3.21
0.56,"Ideal","D","VS2",60.6,56,2066,5.37,5.33,3.24
0.31,"Ideal","E","VS2",61.8,55,680,4.37,4.4,2.71
1,"Good","G","VS2",63.7,57,5484,6.32,6.28,4.01
0.72,"Ideal","H","SI2",61.5,56,2131,5.8,5.75,3.55
0.42,"Ideal","F","VVS2",60.6,57,1142,4.82,4.85,2.93
0.55,"Ideal","D","VS1",61.7,55,1990,5.26,5.25,3.24
0.4,"Premium","E","SI1",61.4,58,882,4.81,4.77,2.94
0.93,"Ideal","I","SI1",62,57,2917,6.22,6.26,3.87
1.01,"Good","F","SI2",64,56,3768,6.25,6.32,4.02
0.71,"Ideal","H","SI1",60.7,59,2328,5.75,5.81,3.51
0.54,"Very Good","E","VS1",61.8,58,1889,5.23,5.28,3.25
1.19,"Ideal","D","VVS2",62,57,12795,6.76,6.86,4.22
0.23,"Very Good","E","VVS2",62.5,55,505,3.94,3.96,2.47
1.06,"Premium","F","SI1",62.4,58,4862,6.56,6.51,4.07
1.28,"Premium","H","SI1",59.9,59,6701,7.08,7.05,4.23
0.32,"Very Good","H","VVS1",61.7,56,672,4.4,4.43,2.72
1.01,"Premium","D","SI2",60.3,57,4672,6.56,6.51,3.94
0.3,"Premium","E","SI1",60.6,56,675,4.37,4.35,2.64
0.36,"Good","D","SI1",63.2,56,619,4.52,4.56,2.87
2.25,"Premium","D","SI2",60.4,59,18007,8.54,8.48,5.13
0.42,"Ideal","D","VVS2",62.5,57,1326,4.77,4.8,2.99
0.4,"Premium","J","VS1",59.7,59,631,4.79,4.83,2.87
0.38,"Very Good","I","VS1",60.1,60,606,4.66,4.72,2.82
0.71,"Good","D","SI2",64.3,56,2215,5.64,5.59,3.61
0.96,"Premium","E","SI2",62.8,60,3016,6.3,6.24,3.94
0.71,"Fair","G","SI2",65.6,56,1691,5.54,5.49,3.63
1.73,"Premium","G","VS1",61.6,60,11867,7.67,7.62,4.71
0.23,"Very Good","E","VVS2",62.7,59,465,3.93,3.95,2.47
0.5,"Good","E","SI1",61.8,62,1259,5.05,5.08,3.13
1.2,"Premium","F","SI2",59.9,58,6055,6.96,6.9,4.15
0.9,"Premium","H","VS2",61.8,56,4082,6.25,6.18,3.84
0.32,"Very Good","F","SI1",62.3,55,533,4.39,4.44,2.75
1.21,"Very Good","G","VVS2",60.4,56,9878,6.96,6.91,4.19
0.41,"Ideal","D","VS1",61.8,57,1151,4.75,4.8,2.95
1.01,"Good","G","SI2",61.1,62,3948,6.38,6.48,3.93
1.01,"Ideal","G","VVS2",60.6,57,7366,6.54,6.5,3.95
0.31,"Ideal","G","VS2",62,57,698,4.37,4.34,2.7
0.8,"Ideal","F","IF",60.8,56,6674,5.99,6.05,3.66
1.5,"Very Good","G","VS2",61.2,61,12196,7.29,7.34,4.48
0.5,"Fair","F","I1",67.1,57,627,4.92,4.87,3.28
2.75,"Premium","H","SI2",60.5,61,15415,8.99,8.97,5.48
1.24,"Ideal","G","VVS2",61.1,56,11601,6.94,6.97,4.25
1,"Ideal","D","SI1",61.9,57,5804,6.39,6.41,3.96
0.42,"Premium","G","SI1",62.7,58,882,4.79,4.75,2.99
1.05,"Ideal","I","VVS2",61.8,54,5352,6.55,6.57,4.05
0.5,"Very Good","D","SI1",62.8,53,1436,5.04,5.08,3.18
0.59,"Very Good","G","SI1",63,57,1412,5.35,5.38,3.38
0.3,"Ideal","H","SI1",62.2,57,450,4.27,4.28,2.66
0.36,"Ideal","D","SI2",62,56,689,4.6,4.56,2.84
0.73,"Ideal","E","VS2",62.2,59,3198,5.74,5.77,3.58
1.5,"Ideal","I","VVS2",60.3,57,10907,7.43,7.47,4.49
0.31,"Ideal","E","VVS1",61.1,56,863,4.36,4.38,2.67
0.23,"Good","F","VS1",58.2,59,402,4.06,4.08,2.37
0.53,"Ideal","H","VVS1",60.8,56,1781,5.24,5.26,3.19
1.06,"Premium","J","SI2",62,58,3823,6.53,6.45,4.04
1,"Very Good","E","SI2",63.2,56,3763,6.4,6.32,4.02
0.41,"Premium","E","VVS2",60.9,60,1243,4.82,4.81,2.93
0.61,"Ideal","G","VVS1",61.2,56,3008,5.46,5.48,3.35
0.37,"Premium","F","SI1",61.5,59,616,4.59,4.62,2.83
0.52,"Good","H","VS2",63.5,58,1289,5.11,5.12,3.25
1,"Very Good","H","SI2",63.1,58,3975,6.29,6.36,3.99
1.71,"Ideal","J","SI2",60.8,57,7695,7.69,7.64,4.66
0.32,"Ideal","G","VS1",61.4,54,614,4.45,4.48,2.74
0.32,"Very Good","D","VVS1",61.9,54,983,4.42,4.46,2.75
1,"Premium","D","VS1",62.7,62,7812,6.23,6.21,3.9
1.57,"Premium","D","SI2",62.9,61,9875,7.41,7.37,4.65
1.01,"Premium","E","VS2",60.8,60,6606,6.46,6.43,3.92
0.7,"Premium","G","VS2",63,57,2381,5.67,5.6,3.55
0.36,"Very Good","E","VVS2",61.8,58,968,4.55,4.58,2.82
0.51,"Good","G","VVS1",63.2,58,1872,5.08,5.11,3.22
0.7,"Ideal","I","VS2",62.2,55,2232,5.66,5.69,3.53
0.24,"Very Good","D","VVS2",62.9,59,492,3.95,3.97,2.49
0.57,"Ideal","F","VS2",62.3,55,1637,5.3,5.36,3.32
0.59,"Good","F","SI1",59.1,58,1361,5.46,5.5,3.24
0.51,"Ideal","G","VVS1",61.9,53,1919,5.14,5.2,3.2
0.53,"Premium","G","VS2",62,58,1607,5.21,5.18,3.22
1.21,"Premium","H","IF",62.2,58,8446,6.83,6.8,4.24
0.5,"Good","G","VVS2",63.9,58,1806,5.05,5,3.21
0.41,"Ideal","E","VVS1",61.7,56,1367,4.78,4.82,2.96
0.9,"Ideal","D","SI1",62.7,56,4612,6.18,6.16,3.87
1.05,"Ideal","I","SI1",62.6,56,4466,6.45,6.53,4.06
0.7,"Ideal","F","SI1",61.3,57,2288,5.72,5.77,3.52
1.51,"Ideal","F","SI1",62.4,56,11950,7.34,7.4,4.6
0.8,"Ideal","D","SI1",62.7,57,3564,5.88,5.92,3.7
0.74,"Ideal","F","SI1",62.2,54,2583,5.79,5.85,3.62
0.52,"Premium","F","VVS2",61.8,60,2870,5.16,5.13,3.18
2.66,"Good","H","SI2",63.8,57,16239,8.71,8.65,5.54
1.2,"Very Good","F","VVS2",61.4,60,10931,6.79,6.83,4.18
0.31,"Good","H","VVS2",63.7,55,625,4.28,4.32,2.74
0.4,"Ideal","F","VS2",62.9,57,1080,4.72,4.69,2.96
1.15,"Premium","D","SI1",61.7,58,6041,6.76,6.69,4.15
0.33,"Ideal","I","IF",62.2,56,891,4.45,4.42,2.76
0.56,"Ideal","H","SI1",60.3,58,1253,5.35,5.4,3.24
0.32,"Premium","E","VVS1",60.8,59,1044,4.45,4.43,2.7
0.8,"Premium","H","SI1",62.5,55,2553,5.97,5.93,3.72
0.4,"Ideal","G","SI1",62,55,692,4.72,4.76,2.94
0.35,"Ideal","E","VS1",62,55,900,4.54,4.58,2.82
1,"Very Good","G","VS2",61.2,56,5939,6.47,6.38,3.93
1.5,"Premium","E","SI2",61,58,9450,7.35,7.3,4.47
0.43,"Premium","D","SI2",62.6,58,716,4.79,4.82,3.01
0.32,"Good","D","SI1",63.7,55,550,4.31,4.33,2.75
0.53,"Ideal","E","VVS1",61.7,57,2407,5.17,5.21,3.2
1.01,"Very Good","F","SI2",61,60,5067,6.42,6.46,3.93
1.14,"Ideal","F","VVS1",61.6,57,9259,6.71,6.76,4.15
0.58,"Premium","E","SI1",61.6,59,1794,5.38,5.33,3.3
0.41,"Ideal","E","SI1",62.5,55,969,4.77,4.73,2.97
1.14,"Very Good","F","VS2",58.3,60,7293,6.87,6.91,4.02
0.4,"Very Good","D","VS1",63.3,57,967,4.66,4.72,2.97
0.73,"Ideal","D","VVS2",61.3,56,4372,5.79,5.82,3.56
0.54,"Ideal","D","VS2",61.8,57,1892,5.22,5.26,3.24
0.23,"Ideal","E","VVS2",62.5,57,530,3.92,3.99,2.47
0.33,"Ideal","H","VS1",61.9,56,579,4.44,4.48,2.76
0.92,"Premium","F","SI2",62.1,60,3083,6.21,6.26,3.87
0.3,"Ideal","F","VS1",62.5,57,621,4.26,4.28,2.67
1.5,"Good","J","VS1",63.3,57,8736,7.2,7.24,4.57
0.32,"Very Good","H","SI1",62.6,55,461,4.37,4.38,2.74
2.01,"Good","I","VS1",62.5,56,17365,7.96,8,4.99
1.01,"Ideal","F","VS2",62.5,55,7338,6.38,6.41,4
1.28,"Ideal","H","SI1",61.8,57,7109,7.02,6.97,4.32
0.43,"Ideal","F","SI1",61.3,56,739,4.86,4.9,2.99
0.26,"Good","D","VVS2",63.6,56,564,4.06,4.09,2.59
1.53,"Premium","J","IF",61.1,58,9596,7.45,7.41,4.54
1.19,"Ideal","I","SI1",62.3,55,5690,6.8,6.82,4.24
0.39,"Very Good","H","SI2",60.4,60,588,4.74,4.8,2.88
0.77,"Ideal","D","SI1",62.5,56,3345,5.86,5.91,3.68
1,"Fair","F","SI2",65.1,55,3265,6.26,6.23,4.07
0.7,"Good","E","VS2",61.5,61,2473,5.64,5.74,3.5
0.36,"Ideal","I","VS2",61.8,55,505,4.58,4.61,2.84
0.91,"Good","I","SI2",60.2,59,3034,6.24,6.29,3.77
0.3,"Very Good","G","VVS1",60.7,57,691,4.35,4.37,2.65
0.7,"Premium","E","VS1",62.6,59,2887,5.66,5.69,3.55
0.32,"Premium","J","VS2",61.9,59,504,4.38,4.35,2.7
0.38,"Ideal","F","I1",62.5,57,497,4.61,4.64,2.89
0.82,"Ideal","H","SI1",62.5,57,2832,5.91,5.97,3.71
0.52,"Premium","G","VS2",60.9,58,1447,5.19,5.22,3.17
0.54,"Ideal","E","SI1",61.5,56,1720,5.26,5.22,3.23
1.71,"Premium","H","SI2",62.5,57,10687,7.67,7.62,4.78
0.42,"Very Good","G","VS2",62.6,57,847,4.76,4.8,2.99
1.52,"Premium","D","SI2",59.8,60,10433,7.42,7.5,4.46
1.71,"Good","F","SI2",63.7,54,6971,7.6,7.49,4.81
0.44,"Ideal","G","SI1",60.9,56,1188,4.88,4.94,2.99
0.41,"Ideal","E","VS2",61.6,55,999,4.79,4.75,2.94
0.71,"Fair","F","SI1",62.6,57,2088,5.73,5.68,3.57
0.31,"Ideal","F","VS2",62.1,53,802,4.39,4.34,2.71
0.9,"Premium","G","SI2",61.1,58,3303,6.18,6.22,3.79
0.39,"Ideal","G","VS1",62.6,55,1077,4.69,4.66,2.93
0.55,"Ideal","E","VS1",61.7,55,1975,5.27,5.29,3.26
0.24,"Very Good","E","VVS1",60.4,62,485,3.99,4.02,2.42
0.46,"Ideal","J","VS2",61.4,56,746,4.96,5,3.06
0.36,"Premium","F","VS2",60.5,59,726,4.61,4.64,2.8
1.03,"Ideal","E","VS1",61.7,56,8284,6.47,6.53,4.01
0.3,"Ideal","D","VS2",60.8,57,710,4.31,4.34,2.63
0.71,"Very Good","J","VS2",62.3,57,1930,5.65,5.69,3.53
1,"Ideal","G","VS2",62.3,56,5887,6.43,6.32,3.97
0.53,"Ideal","H","VS1",61.6,57,1577,5.18,5.24,3.21
0.33,"Very Good","D","VVS2",59.5,56,933,4.51,4.56,2.7
0.7,"Fair","F","SI2",64.6,57,1947,5.6,5.57,3.61
1.22,"Premium","H","SI1",61.9,56,6354,6.89,6.84,4.25
1.53,"Ideal","J","VS1",62.4,54,8943,7.34,7.38,4.59
0.6,"Very Good","D","VS2",61.5,59,1984,5.4,5.43,3.33
0.55,"Ideal","F","SI2",61.1,56,1256,5.29,5.32,3.24
0.34,"Ideal","D","VS2",61.6,55,687,4.48,4.54,2.78
0.33,"Ideal","E","VVS2",61.2,56,814,4.44,4.48,2.73
0.52,"Ideal","F","VVS2",60.6,56,2137,5.22,5.24,3.17
1.02,"Premium","F","VS2",61.3,58,6479,6.42,6.54,3.97
1.02,"Ideal","G","VVS2",59.2,58,8107,6.56,6.62,3.9
1.2,"Fair","I","I1",65.1,55,2376,6.65,6.59,4.31
1.21,"Ideal","F","VS1",61.8,56,10504,6.84,6.86,4.23
0.33,"Ideal","E","VS2",61.9,56,723,4.4,4.45,2.74
0.5,"Ideal","E","SI2",60.7,56,1359,5.16,5.19,3.14
1.5,"Premium","F","VS2",60.3,58,14486,7.47,7.39,4.48
0.5,"Fair","G","VVS2",62.9,67,1791,5.02,4.96,3.14
0.32,"Premium","F","VVS1",61.3,58,990,4.4,4.37,2.69
1.01,"Fair","H","SI2",64.9,56,4129,6.33,6.25,4.08
0.34,"Premium","H","VVS2",61.4,58,880,4.5,4.46,2.75
0.46,"Premium","E","VS1",62,58,1355,4.98,4.95,3.08
1.06,"Ideal","I","VS2",61,57,5362,6.55,6.59,4.01
0.56,"Very Good","E","VS2",61,58,1755,5.29,5.34,3.24
1.51,"Premium","G","VS1",62.2,58,14542,7.29,7.35,4.55
1.02,"Ideal","D","VS1",62.7,55,7118,6.49,6.4,4.04
0.71,"Ideal","E","SI1",62.9,57,2651,5.67,5.72,3.58
0.5,"Very Good","E","SI1",63.4,58,1155,5.09,5.01,3.2
2.31,"Premium","H","SI2",59.2,61,13831,8.65,8.57,5.1
1.19,"Fair","H","SI1",64.4,58,5622,6.69,6.64,4.29
1.52,"Good","J","VVS2",57.9,62,8861,7.61,7.63,4.41
1.46,"Premium","J","SI2",60.1,58,6387,7.43,7.34,4.44
0.38,"Very Good","D","VVS2",60,62,1200,4.7,4.73,2.83
0.3,"Premium","G","VS2",61.1,62,630,4.33,4.28,2.63
0.45,"Ideal","H","VS1",62,54,888,4.92,4.95,3.06
1.26,"Ideal","J","SI1",62,56,5398,6.93,6.9,4.29
